filename,class_name,original_folder,file_path,split,final_file_path
Tr-pi_135.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_135.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_135.npz
Tr-no_154.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_154.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_154.npz
Tr-gl_365.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_365.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_365.npz
Tr-pi_125.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_125.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_125.npz
Tr-gl_433.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_433.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_433.npz
Tr-no_389.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_389.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_389.npz
Tr-no_688.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_688.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_688.npz
Tr-no_1100.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1100.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_1100.npz
Tr-aug-me_97.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-aug-me_97.npz,train,data/processed/final/kaggle/train/meningioma/Tr-aug-me_97.npz
Tr-me_852.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_852.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_852.npz
Tr-no_722.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_722.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_722.npz
Tr-gl_184.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_184.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_184.npz
Tr-no_144.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_144.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_144.npz
Tr-no_142.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_142.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_142.npz
Tr-gl_681.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_681.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_681.npz
Tr-no_351.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_351.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_351.npz
Tr-no_986.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_986.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_986.npz
Tr-me_796.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_796.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_796.npz
Tr-no_1013.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1013.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_1013.npz
Tr-no_994.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_994.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_994.npz
Tr-me_243.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_243.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_243.npz
Tr-gl_1276.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1276.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_1276.npz
Tr-aug-me_88.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-aug-me_88.npz,train,data/processed/final/kaggle/train/meningioma/Tr-aug-me_88.npz
Tr-pi_180.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_180.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_180.npz
Tr-gl_1368.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1368.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_1368.npz
Tr-pi_937.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_937.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_937.npz
Tr-me_418.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_418.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_418.npz
Tr-no_583.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_583.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_583.npz
Tr-gl_596.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_596.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_596.npz
Tr-no_419.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_419.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_419.npz
Tr-me_972.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_972.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_972.npz
Tr-pi_271.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_271.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_271.npz
Tr-me_446.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_446.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_446.npz
Tr-no_848.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_848.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_848.npz
Tr-pi_19.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_19.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_19.npz
Tr-gl_1090.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1090.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_1090.npz
Tr-no_539.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_539.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_539.npz
Tr-pi_988.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_988.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_988.npz
Tr-gl_267.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_267.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_267.npz
Tr-me_739.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_739.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_739.npz
Tr-gl_848.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_848.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_848.npz
Tr-gl_959.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_959.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_959.npz
Tr-pi_1315.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_1315.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_1315.npz
Tr-me_1245.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1245.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_1245.npz
Tr-me_490.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_490.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_490.npz
Tr-pi_323.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_323.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_323.npz
Tr-no_127.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_127.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_127.npz
Tr-pi_69.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_69.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_69.npz
Tr-gl_442.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_442.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_442.npz
Tr-pi_796.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_796.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_796.npz
Tr-me_8.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_8.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_8.npz
Tr-no_97.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_97.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_97.npz
Tr-me_82.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_82.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_82.npz
Tr-gl_550.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_550.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_550.npz
Tr-gl_284.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_284.npz,train,data/processed/final/kaggle/train/glioma/Tr-gl_284.npz
Tr-pi_230.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_230.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_230.npz
Tr-pi_998.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_998.npz,train,data/processed/final/kaggle/train/pituitary/Tr-pi_998.npz
Tr-no_952.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_952.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_952.npz
Tr-me_452.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_452.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_452.npz
Tr-no_61.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_61.npz,train,data/processed/final/kaggle/train/notumor/Tr-no_61.npz
Tr-me_1204.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_1204.npz,train,data/processed/final/kaggle/train/meningioma/Tr-me_1204.npz
