filename,class_name,original_folder,file_path,split
Tr-pi_135.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_135.npz,train
Tr-no_154.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_154.npz,train
Tr-gl_365.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_365.npz,train
Tr-pi_125.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_125.npz,train
Tr-gl_433.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_433.npz,train
Tr-no_389.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_389.npz,train
Tr-no_688.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_688.npz,train
Tr-no_1100.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1100.npz,train
Tr-aug-me_97.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-aug-me_97.npz,train
Tr-me_852.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_852.npz,train
Tr-no_722.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_722.npz,train
Tr-gl_184.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_184.npz,train
Tr-no_144.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_144.npz,train
Tr-no_142.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_142.npz,train
Tr-gl_681.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_681.npz,train
Tr-no_351.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_351.npz,train
Tr-no_986.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_986.npz,train
Tr-me_796.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_796.npz,train
Tr-no_1013.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_1013.npz,train
Tr-no_994.npz,notumor,Training,processed/kaggle_normalized/Training/notumor/Tr-no_994.npz,train
Tr-me_243.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-me_243.npz,train
Tr-gl_1276.npz,glioma,Training,processed/kaggle_normalized/Training/glioma/Tr-gl_1276.npz,train
Tr-aug-me_88.npz,meningioma,Training,processed/kaggle_normalized/Training/meningioma/Tr-aug-me_88.npz,train
Tr-pi_180.npz,pituitary,Training,processed/kaggle_normalized/Training/pituitary/Tr-pi_180.npz,train
