Epoch,Duration_Seconds,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,LGG_Recall,HGG_Recall,Next_Learning_Rate
1,68.4,0.6416,62.43,0.5891,66.84,0.777,0.6872,0.5857,0.6942,2.9e-05
2,67.4,0.5516,71.98,0.5694,71.94,0.8174,0.7678,0.6786,0.7321,2.9e-05
3,68.2,0.4907,75.77,0.5284,73.13,0.8229,0.8118,0.7357,0.7299,2.7e-05
4,67.9,0.4357,80.03,0.4379,78.57,0.8596,0.8651,0.7714,0.7902,2.6e-05
5,67.5,0.4079,81.38,0.4578,77.21,0.8465,0.871,0.8214,0.7567,2.4e-05
6,67.3,0.3662,83.13,0.38,82.31,0.8841,0.892,0.7929,0.8326,2.2e-05
7,67.4,0.3242,86.44,0.3951,81.97,0.8804,0.9038,0.8286,0.817,1.9e-05
8,67.8,0.2882,87.24,0.3392,84.86,0.9004,0.9234,0.8286,0.8549,1.7e-05
9,67.6,0.2589,89.29,0.3541,84.01,0.8942,0.9328,0.8429,0.8393,1.5e-05
10,67.9,0.2452,89.65,0.3341,84.52,0.8967,0.9317,0.8714,0.8371,1.3e-05
11,67.8,0.2227,90.96,0.298,86.9,0.913,0.9416,0.85,0.875,1.1e-05
12,68.1,0.1983,91.65,0.3204,85.88,0.9058,0.9452,0.8643,0.8571,8e-06
13,68.0,0.1802,92.57,0.2917,86.9,0.9126,0.9482,0.8714,0.8683,6e-06
14,67.4,0.1652,93.37,0.2995,86.73,0.9109,0.9507,0.8857,0.8616,4e-06
15,67.8,0.1472,94.02,0.2818,87.76,0.9184,0.9529,0.8714,0.8795,3e-06
16,67.6,0.1451,94.42,0.2831,87.41,0.916,0.9547,0.8714,0.875,1e-06
17,67.4,0.1387,94.57,0.2801,87.93,0.9195,0.9542,0.8714,0.8817,1e-06
18,68.0,0.1362,95.12,0.2828,87.76,0.9184,0.9548,0.8714,0.8795,0.0
19,67.7,0.1382,95.04,0.2822,87.76,0.9184,0.9547,0.8714,0.8795,0.0
20,67.4,0.1293,95.01,0.2823,87.76,0.9184,0.9548,0.8714,0.8795,0.0
