Epoch,Duration_Seconds,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,LGG_Recall,HGG_Recall,Next_Learning_Rate
1,203.2,0.6121,66.58,0.5361,71.94,0.8143,0.7725,0.7286,0.7165,1.5e-05
2,204.1,0.4722,77.41,0.443,79.59,0.8655,0.86,0.7857,0.7991,1.4e-05
3,201.2,0.3842,82.51,0.3887,81.63,0.8768,0.9015,0.8429,0.808,1.4e-05
4,205.1,0.3168,86.41,0.3444,85.03,0.9012,0.9272,0.8357,0.8549,1.3e-05
5,200.7,0.2526,89.25,0.2982,86.73,0.9113,0.9472,0.8714,0.8661,1.2e-05
6,204.3,0.2078,91.22,0.3204,85.37,0.9009,0.952,0.9,0.8393,1.1e-05
7,200.5,0.1706,93.18,0.2796,87.76,0.9179,0.961,0.8857,0.875,1e-05
8,203.2,0.1448,94.46,0.2662,88.61,0.9238,0.9652,0.8857,0.8862,8e-06
9,201.7,0.1197,95.81,0.2483,89.29,0.9284,0.9687,0.8929,0.8929,7e-06
10,204.8,0.1065,96.14,0.2472,89.63,0.9304,0.9691,0.9,0.8951,6e-06
11,201.9,0.0913,96.65,0.2485,89.8,0.9317,0.9706,0.8929,0.8996,5e-06
12,204.0,0.0763,97.45,0.2393,90.31,0.9351,0.9712,0.9,0.904,4e-06
13,200.7,0.0687,97.59,0.2384,90.48,0.9363,0.9723,0.9,0.9062,3e-06
14,204.6,0.0631,98.14,0.2372,90.48,0.9363,0.9727,0.9,0.9062,2e-06
15,200.9,0.0543,98.4,0.2378,90.65,0.9374,0.9731,0.9,0.9085,1e-06
16,203.9,0.0505,98.65,0.237,90.65,0.9374,0.9735,0.9,0.9085,1e-06
17,201.2,0.0501,98.54,0.2366,90.65,0.9374,0.9735,0.9,0.9085,0.0
18,204.6,0.0469,98.72,0.2367,90.65,0.9374,0.9735,0.9,0.9085,0.0
19,201.1,0.0493,98.61,0.2366,90.65,0.9374,0.9736,0.9,0.9085,0.0
20,203.9,0.0494,98.65,0.2366,90.65,0.9374,0.9736,0.9,0.9085,0.0
